TEST 3: testing all combos of parameters by time
User Mode: 3 - Best Combos for time ranges

-----Time List Key: times_1_10m-----

entry time, volatility%, ratio, adx28, 14, 7, rsi_type, t1, t2, sl1, sl2

--- Top 10 results for time between 6:30:00 and whatever the interval is---
1) id: 6:30:00|0.0|0.0|0.0|0.0|20.0|either|0.3|0.9|-0.5|-0.3, sum: 17.80, count: 28, wins: 22, losses: 6, neither: 0
2) id: 6:30:00|0.0|0.2|0.0|0.0|20.0|either|0.3|0.9|-0.5|-0.3, sum: 17.80, count: 28, wins: 22, losses: 6, neither: 0
3) id: 6:30:00|0.0|0.5|0.0|0.0|20.0|either|0.3|0.9|-0.5|-0.3, sum: 17.80, count: 28, wins: 22, losses: 6, neither: 0
4) id: 6:30:00|0.0|0.7|0.0|0.0|20.0|either|0.3|0.9|-0.5|-0.3, sum: 17.80, count: 28, wins: 22, losses: 6, neither: 0
5) id: 6:30:00|0.0|0.8|0.0|0.0|20.0|either|0.3|0.9|-0.5|-0.3, sum: 17.80, count: 28, wins: 22, losses: 6, neither: 0
6) id: 6:30:00|0.0|0.9|0.0|0.0|20.0|either|0.3|0.9|-0.5|-0.3, sum: 17.80, count: 28, wins: 22, losses: 6, neither: 0
7) id: 6:30:00|0.0|0.0|0.0|0.0|20.0|either|0.4|0.9|-0.5|-0.3, sum: 17.60, count: 28, wins: 22, losses: 6, neither: 0
8) id: 6:30:00|0.0|0.2|0.0|0.0|20.0|either|0.4|0.9|-0.5|-0.3, sum: 17.60, count: 28, wins: 22, losses: 6, neither: 0
9) id: 6:30:00|0.0|0.5|0.0|0.0|20.0|either|0.4|0.9|-0.5|-0.3, sum: 17.60, count: 28, wins: 22, losses: 6, neither: 0
10) id: 6:30:00|0.0|0.7|0.0|0.0|20.0|either|0.4|0.9|-0.5|-0.3, sum: 17.60, count: 28, wins: 22, losses: 6, neither: 0

--- Top 10 results for time between 6:40:00 and whatever the interval is---
1) id: 6:40:00|0.0|0.2|0.0|0.0|0.0|either|0.2|0.9|-0.5|-0.1, sum: 11.90, count: 29, wins: 16, losses: 13, neither: 0
2) id: 6:40:00|0.0|0.2|0.0|0.0|0.0|either|0.2|0.9|-0.4|-0.1, sum: 11.90, count: 29, wins: 16, losses: 13, neither: 0
3) id: 6:40:00|0.0|0.2|0.0|0.0|0.0|either|0.3|0.9|-0.5|-0.1, sum: 11.90, count: 29, wins: 16, losses: 13, neither: 0
4) id: 6:40:00|0.0|0.2|0.0|0.0|0.0|either|0.3|0.9|-0.4|-0.1, sum: 11.90, count: 29, wins: 16, losses: 13, neither: 0
5) id: 6:40:00|0.0|0.5|0.0|0.0|0.0|either|0.2|0.9|-0.5|-0.1, sum: 11.90, count: 29, wins: 16, losses: 13, neither: 0
