date,ticker,start_time,end_time,direction,best exit timestamp,worst exit timestamp,best exit price,worst exit price,entry_price,macd_exit_price,starting_atr14,starting_atr28,starting_rsi,best exit percent,worst exit percent,macd_exit_percent,price_movement
06-09-2025,SOXL,06:41:16,06:52:18,short,06:41:56,06:51:43,20.01,20.36,20.11,20.36,0.1,0.07,59.7,0.49,-1.24,-1.24,0.1|0.2|0.3|0.4|-0.1|-0.2|-0.3|-0.4|-0.5|-0.6|-0.7|-0.8|-0.9|-1.0|-1.1|-1.2
06-09-2025,SOXL,06:52:18,06:55:41,buy,06:54:58,06:55:41,20.44,20.3,20.36,20.3,0.095,0.078,67.3,0.39,-0.29,-0.29,0.1|0.2|0.3|-0.1|-0.2
06-09-2025,SOXL,06:55:41,06:56:47,short,06:55:48,06:56:47,20.29,20.41,20.3,20.41,0.097,0.081,59.1,0.04,-0.54,-0.54,-0.1|-0.2|-0.3|-0.4|-0.5
06-09-2025,SOXL,06:56:47,06:57:36,buy,06:56:51,06:57:36,20.44,20.4,20.41,20.4,0.099,0.082,65.2,0.14,-0.04,-0.05,0.1
06-09-2025,SOXL,06:57:36,07:02:03,short,06:59:51,07:02:03,20.34,20.52,20.4,20.52,0.095,0.081,63.9,0.29,-0.58,-0.59,-0.1|-0.2|0.1|0.2|-0.3|-0.4|-0.5
06-09-2025,SOXL,07:02:03,07:05:01,buy,07:03:51,07:05:01,20.57,20.5,20.52,20.5,0.091,0.081,67.1,0.24,-0.09,-0.1,0.1|0.2
06-09-2025,SOXL,07:05:01,07:05:12,short,07:05:04,07:05:12,20.51,20.53,20.5,20.53,0.083,0.079,63.4,-0.04,-0.14,-0.15,-0.1
06-09-2025,SOXL,07:05:12,07:06:44,buy,07:06:12,07:06:44,20.61,20.52,20.53,20.52,0.085,0.08,65.2,0.38,-0.04,-0.05,0.1|0.2|0.3
06-09-2025,SOXL,07:06:44,07:12:01,short,07:07:21,07:12:01,20.47,20.65,20.52,20.65,0.088,0.081,62.9,0.24,-0.63,-0.63,0.1|0.2|-0.1|-0.2|-0.3|-0.4|-0.5|-0.6
06-09-2025,SOXL,07:12:01,07:19:44,buy,07:17:54,07:12:02,20.84,20.65,20.65,20.7,0.077,0.077,68.6,0.92,0.0,0.24,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
06-09-2025,SOXL,07:19:44,07:32:29,short,07:26:01,07:32:29,20.65,20.94,20.7,20.94,0.076,0.076,60.6,0.24,-1.15,-1.16,-0.1|-0.2|-0.3|-0.4|-0.5|-0.6|0.1|0.2|-0.7|-0.8|-0.9|-1.0|-1.1
06-09-2025,SOXL,07:32:29,07:32:35,buy,07:32:30,07:32:35,20.94,20.91,20.94,20.91,0.08,0.079,69.2,0.0,-0.14,-0.14,-0.1
06-09-2025,SOXL,07:32:35,07:32:48,short,07:32:36,07:32:48,20.9,20.92,20.91,20.92,0.08,0.079,67.4,0.04,-0.04,-0.05,
06-09-2025,SOXL,07:32:48,07:41:01,buy,07:37:45,07:32:50,21.06,20.91,20.92,20.99,0.08,0.079,68.1,0.66,-0.04,0.33,0.1|0.2|0.3|0.4|0.5|0.6
06-09-2025,SOXL,07:41:01,07:41:36,short,07:41:14,07:41:36,20.96,21.02,20.99,21.02,0.065,0.071,67.7,0.14,-0.14,-0.14,0.1|-0.1
06-09-2025,SOXL,07:41:36,07:42:00,buy,07:41:40,07:42:00,21.02,21.0,21.02,21.0,0.069,0.072,69.6,0.0,-0.09,-0.1,
06-09-2025,SOXL,07:42:00,08:02:00,short,07:57:14,07:42:43,20.6,21.02,21.0,20.78,0.069,0.072,68.6,1.9,-0.09,1.05,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1.0|1.1|1.2|1.3|1.4|1.5|1.6|1.7|1.8|1.9
06-09-2025,SOXL,08:02:00,08:16:00,buy,08:12:48,08:02:22,20.95,20.74,20.78,20.81,0.064,0.069,52.2,0.81,-0.19,0.14,-0.1|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8
06-09-2025,SOXL,08:16:00,08:46:01,short,08:42:21,08:16:13,20.39,20.81,20.81,20.42,0.053,0.06,47.2,2.01,0.0,1.87,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9|1.0|1.1|1.2|1.3|1.4|1.5|1.6|1.7|1.8|1.9|2.0
06-09-2025,SOXL,08:46:01,08:46:07,buy,08:46:02,08:46:02,20.42,20.42,20.42,20.42,0.049,0.055,35.1,0.0,0.0,0.0,
06-09-2025,SOXL,08:46:07,08:46:28,short,08:46:16,08:46:08,20.38,20.42,20.42,20.42,0.05,0.055,34.7,0.19,0.0,0.0,0.1
06-09-2025,SOXL,08:46:28,09:09:02,buy,09:05:48,08:48:39,20.61,20.41,20.42,20.47,0.053,0.057,35.1,0.93,-0.04,0.24,0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|0.9
06-09-2025,SOXL,09:09:02,09:09:18,short,09:09:03,09:09:18,20.45,20.48,20.47,20.48,0.051,0.053,42.2,0.09,-0.04,-0.05,
06-09-2025,SOXL,09:09:18,09:10:10,buy,09:09:45,09:09:19,20.54,20.48,20.48,20.5,0.052,0.054,43.3,0.29,0.0,0.1,0.1|0.2
